isbn13,isbn10,title,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,title_and_subtitle,tagged_description,simple_categories,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,neutral,optimism,pride,realization,relief,remorse,sadness,surprise
9780002005883,0002005883,Gilead,Marilynne Robinson,Fiction,http://books.google.com/books/content?id=KQZCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A NOVEL THAT READERS and critics have been eagerly anticipating for over a decade, Gilead is an astonishingly imagined story of remarkable lives. John Ames is a preacher, the son of a preacher and the grandson (both maternal and paternal) of preachers. It’s 1956 in Gilead, Iowa, towards the end of the Reverend Ames’s life, and he is absorbed in recording his family’s story, a legacy for the young son he will never see grow up. Haunted by his grandfather’s presence, John tells of the rift between his grandfather and his father: the elder, an angry visionary who fought for the abolitionist cause, and his son, an ardent pacifist. He is troubled, too, by his prodigal namesake, Jack (John Ames) Boughton, his best friend’s lost son who returns to Gilead searching for forgiveness and redemption. Told in John Ames’s joyous, rambling voice that finds beauty, humour and truth in the smallest of life’s details, Gilead is a song of celebration and acceptance of the best and the worst the world has to offer. At its heart is a tale of the sacred bonds between fathers and sons, pitch-perfect in style and story, set to dazzle critics and readers alike.",2004.0,3.85,247.0,361.0,Gilead,"9780002005883 A NOVEL THAT READERS and critics have been eagerly anticipating for over a decade, Gilead is an astonishingly imagined story of remarkable lives. John Ames is a preacher, the son of a preacher and the grandson (both maternal and paternal) of preachers. It’s 1956 in Gilead, Iowa, towards the end of the Reverend Ames’s life, and he is absorbed in recording his family’s story, a legacy for the young son he will never see grow up. Haunted by his grandfather’s presence, John tells of the rift between his grandfather and his father: the elder, an angry visionary who fought for the abolitionist cause, and his son, an ardent pacifist. He is troubled, too, by his prodigal namesake, Jack (John Ames) Boughton, his best friend’s lost son who returns to Gilead searching for forgiveness and redemption. Told in John Ames’s joyous, rambling voice that finds beauty, humour and truth in the smallest of life’s details, Gilead is a song of celebration and acceptance of the best and the worst the world has to offer. At its heart is a tale of the sacred bonds between fathers and sons, pitch-perfect in style and story, set to dazzle critics and readers alike.",Fiction,0.692378580570221,0.027041317895054817,0.002716466784477234,0.011396301910281181,0.16847126185894012,0.03551098331809044,0.0024072828236967325,0.020611189305782318,0.012063340283930302,0.03747536614537239,0.009044048376381397,0.0027551911771297455,0.002129608066752553,0.4950507879257202,0.005749270785599947,0.003122171387076378,0.022810181602835655,0.7413573265075684,0.012335100211203098,0.009491332806646824,0.9549601674079895,0.0087283281609416,0.018388209864497185,0.030264271423220634,0.017696566879749298,0.022793447598814964,0.7170383930206299,0.025452643632888794
9780002261982,0002261987,Spider's Web,Charles Osborne;Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A new 'Christie for Christmas' -- a full-length novel adapted from her acclaimed play by Charles Osborne Following BLACK COFFEE and THE UNEXPECTED GUEST comes the final Agatha Christie play novelisation, bringing her superb storytelling to a new legion of fans. Clarissa, the wife of a Foreign Office diplomat, is given to daydreaming. 'Supposing I were to come down one morning and find a dead body in the library, what should I do?' she muses. Clarissa has her chance to find out when she discovers a body in the drawing-room of her house in Kent. Desperate to dispose of the body before her husband comes home with an important foreign politician, Clarissa persuades her three house guests to become accessories and accomplices. It seems that the murdered man was not unknown to certain members of the house party (but which ones?), and the search begins for the murderer and the motive, while at the same time trying to persuade a police inspector that there has been no murder at all... SPIDER'S WEB was written in 1954 specifically for Margaret Lockwood and opened first at the Theatre Royal Nottingham before moving to the Savoy Theatre in London on 14 December 1954. With THE MOUSETRAP and WI",2000.0,3.83,241.0,5164.0,Spider's Web: A Novel,"9780002261982 A new 'Christie for Christmas' -- a full-length novel adapted from her acclaimed play by Charles Osborne Following BLACK COFFEE and THE UNEXPECTED GUEST comes the final Agatha Christie play novelisation, bringing her superb storytelling to a new legion of fans. Clarissa, the wife of a Foreign Office diplomat, is given to daydreaming. 'Supposing I were to come down one morning and find a dead body in the library, what should I do?' she muses. Clarissa has her chance to find out when she discovers a body in the drawing-room of her house in Kent. Desperate to dispose of the body before her husband comes home with an important foreign politician, Clarissa persuades her three house guests to become accessories and accomplices. It seems that the murdered man was not unknown to certain members of the house party (but which ones?), and the search begins for the murderer and the motive, while at the same time trying to persuade a police inspector that there has been no murder at all... SPIDER'S WEB was written in 1954 specifically for Margaret Lockwood and opened first at the Theatre Royal Nottingham before moving to the Savoy Theatre in London on 14 December 1954. With THE MOUSETRAP and WI",Fiction,0.8429386019706726,0.0023722785990685225,0.0042837029322981834,0.015322037041187286,0.06941189616918564,0.0034281259868294,0.3190416097640991,0.19671224057674408,0.01209400873631239,0.008344070985913277,0.01069733127951622,0.0027582652401179075,0.0021378479432314634,0.006602156907320023,0.007729303557425737,0.004498503636568785,0.002033769618719816,0.003938135225325823,0.002380378544330597,0.002757072914391756,0.96993488073349,0.009755943901836872,0.0037469405215233564,0.05541606992483139,0.0013366483617573977,0.0013001461047679186,0.017485816031694412,0.008590376935899258
9780006178736,0006178731,Rage of angels,Sidney Sheldon,Fiction,http://books.google.com/books/content?id=FKo2TgANz74C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A memorable, mesmerizing heroine Jennifer -- brilliant, beautiful, an attorney on the way up until the Mafia's schemes win her the hatred of an implacable enemy -- and a love more destructive than hate. A dangerous, dramatic world The Dark Arena of organized crime and flashbulb lit courtrooms where ambitious prosecutors begin their climb to political power.",1993.0,3.93,512.0,29532.0,Rage of angels,"9780006178736 A memorable, mesmerizing heroine Jennifer -- brilliant, beautiful, an attorney on the way up until the Mafia's schemes win her the hatred of an implacable enemy -- and a love more destructive than hate. A dangerous, dramatic world The Dark Arena of organized crime and flashbulb lit courtrooms where ambitious prosecutors begin their climb to political power.",Fiction,0.8438481688499451,0.0017943830462172627,0.04729495942592621,0.03773144260048866,0.0675317794084549,0.005412057042121887,0.004081387538462877,0.0016204176936298609,0.003371239174157381,0.024637985974550247,0.02792191505432129,0.010160157456994057,0.0023371241986751556,0.0033774503972381353,0.42973095178604126,0.002397360047325492,0.0013573199976235628,0.0025672719348222017,0.04072612524032593,0.012110010720789433,0.9549601674079895,0.010674958117306232,0.004599837586283684,0.02982545830309391,0.0017796955071389675,0.0007893607253208756,0.009665755555033684,0.002096201991662383
9780006280897,0006280897,The Four Loves,Clive Staples Lewis,Christian life,http://books.google.com/books/content?id=XhQ5XsFcpGIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Lewis' work on the nature of love divides love into four categories; Affection, Friendship, Eros and Charity. The first three come naturally to humanity. Charity, however, the Gift-love of God, is divine, and without this supernatural love, the natural loves become distorted and even dangerous.",2002.0,4.15,170.0,33684.0,The Four Loves,"9780006280897 Lewis' work on the nature of love divides love into four categories; Affection, Friendship, Eros and Charity. The first three come naturally to humanity. Charity, however, the Gift-love of God, is divine, and without this supernatural love, the natural loves become distorted and even dangerous.",Nonfiction,0.21287216246128082,0.0015534177655354142,0.013755356892943382,0.017027772963047028,0.45013365149497986,0.04705008491873741,0.005814047530293465,0.0020340716000646353,0.0030081146396696568,0.025365745648741722,0.038544848561286926,0.007591733708977699,0.0014101744163781404,0.004655500873923302,0.11171646416187286,0.001882375916466117,0.0030921970028430223,0.005266180727630854,0.3779677748680115,0.014452707953751087,0.9549601674079895,0.010419690050184727,0.00417657196521759,0.09270350635051727,0.0026823338121175766,0.0022817151620984077,0.025013349950313568,0.0018759487429633737
9780006280934,0006280935,The Problem of Pain,Clive Staples Lewis,Christian life,http://books.google.com/books/content?id=Kk-uVe5QK-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""In The Problem of Pain, C.S. Lewis, one of the most renowned Christian authors and thinkers, examines a universally applicable question within the human condition: If God is good and all-powerful, why does he allow his creatures to suffer pain? With his signature wealth of compassion and insight, C.S. Lewis offers answers to these crucial questions and shares his hope and wisdom to help heal a world hungering for a true understanding of human nature.""--Amazon.",2002.0,4.09,176.0,37569.0,The Problem of Pain,"9780006280934 ""In The Problem of Pain, C.S. Lewis, one of the most renowned Christian authors and thinkers, examines a universally applicable question within the human condition: If God is good and all-powerful, why does he allow his creatures to suffer pain? With his signature wealth of compassion and insight, C.S. Lewis offers answers to these crucial questions and shares his hope and wisdom to help heal a world hungering for a true understanding of human nature.""--Amazon.",Nonfiction,0.624519407749176,0.003031004685908556,0.005192018114030361,0.011019326746463776,0.3380613327026367,0.17668423056602478,0.061917684972286224,0.27654409408569336,0.027690164744853973,0.015684431418776512,0.014112246222794056,0.002779544796794653,0.0012546847574412823,0.003976116422563791,0.0022661960683763027,0.027513450011610985,0.001541474717669189,0.0034977977629750967,0.004655494354665279,0.0008792031439952552,0.9677259922027588,0.44938376545906067,0.004905350040644407,0.014125892892479897,0.004011687822639942,0.0017100583063438535,0.011587215587496758,0.0035546058788895607
9780006380832,0006380832,Empires of the Monsoon,Richard Hall,"Africa, East",http://books.google.com/books/content?id=MuPEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Until Vasco da Gama discovered the sea-route to the East in 1497-9 almost nothing was known in the West of the exotic cultures and wealth of the Indian Ocean and its peoples. It is this civilization and its destruction at the hands of the West that Richard Hall recreates in this book. Hall's history of the exploration and exploitation by Chinese and Arab travellers, and by the Portuguese, Dutch and British alike is one of brutality, betrayal and colonial ambition.",1998.0,4.41,608.0,65.0,Empires of the Monsoon: A History of the Indian Ocean and Its Invaders,"9780006380832 Until Vasco da Gama discovered the sea-route to the East in 1497-9 almost nothing was known in the West of the exotic cultures and wealth of the Indian Ocean and its peoples. It is this civilization and its destruction at the hands of the West that Richard Hall recreates in this book. Hall's history of the exploration and exploitation by Chinese and Arab travellers, and by the Portuguese, Dutch and British alike is one of brutality, betrayal and colonial ambition.",Nonfiction,0.01607689820230007,0.0019459299510344863,0.00282081076875329,0.01937260664999485,0.09100811183452606,0.0010082455119118094,0.009557385928928852,0.004658133257180452,0.0013568521244451404,0.04987042769789696,0.01087086834013462,0.005427445750683546,0.003355348715558648,0.0053289118222892284,0.003891882486641407,0.0013705722521990538,0.0021873905789107084,0.0020171490032225847,0.001859212527051568,0.0012335276696830988,0.9549601674079895,0.004559598863124847,0.0016677012899890542,0.18218806385993958,0.002200918272137642,0.0015856977552175522,0.0325160026550293,0.012824623845517635
9780006470229,000647022X,The Gap Into Madness,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",http://books.google.com/books/content?id=4oXavLNDWocC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A new-cover reissue of the fourth book in the bestselling five-volume sf series created by the world-famous author of the Thomas Covenant chronicles -- and acclaimed as the 'best work of his career'. Events were not moving as the Amnion had intended. Once again humans had been false in their dealings with the aliens. As the planetoid Thanatos Minor exploded into atoms, the Trumpet hurtled into space only one step ahead of hostile pursuers. On board were Morn Hyland and her force-grown son Davies, cyborg Angus Thermopyle and Captain Nick Succorso -- old enemies thrown together in a desperate bid for survival. For both the Amnion and the UMCP, the immediate capture of the fleeing ship and the secrets it contained was imperative. But for Trumpet's exhausted crew the only hope lay in an illegal lab in the distant binary solar system of Valdor Industrial. It would be a journey of unpredictable danger -- from which not all would return...",1994.0,4.15,743.0,103.0,The Gap Into Madness: Chaos and Order,"9780006470229 A new-cover reissue of the fourth book in the bestselling five-volume sf series created by the world-famous author of the Thomas Covenant chronicles -- and acclaimed as the 'best work of his career'. Events were not moving as the Amnion had intended. Once again humans had been false in their dealings with the aliens. As the planetoid Thanatos Minor exploded into atoms, the Trumpet hurtled into space only one step ahead of hostile pursuers. On board were Morn Hyland and her force-grown son Davies, cyborg Angus Thermopyle and Captain Nick Succorso -- old enemies thrown together in a desperate bid for survival. For both the Amnion and the UMCP, the immediate capture of the fleeing ship and the secrets it contained was imperative. But for Trumpet's exhausted crew the only hope lay in an illegal lab in the distant binary solar system of Valdor Industrial. It would be a journey of unpredictable danger -- from which not all would return...",Fiction,0.8295944929122925,0.0023236998822540045,0.00975851435214281,0.13249485194683075,0.12049935758113861,0.010578970424830914,0.03175400197505951,0.004926594905555248,0.020201100036501884,0.2645462155342102,0.2586703300476074,0.005339157301932573,0.004394307732582092,0.0040534138679504395,0.19972941279411316,0.01743151992559433,0.0017342319479212165,0.003270618850365281,0.0020092728082090616,0.01333449874073267,0.9569121599197388,0.11516307294368744,0.006487651728093624,0.03183858096599579,0.0015182687202468514,0.0058026690967381,0.04735114797949791,0.003425493137910962
9780006472612,0006472613,Master of the Game,Sidney Sheldon,Adventure stories,http://books.google.com/books/content?id=TkTYp-Tp6_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Kate Blackwell is an enigma and one of the most powerful women in the world. But at her ninetieth birthday celebrations there are ghosts of absent friends and absent enemies.,1982.0,4.11,489.0,43540.0,Master of the Game,9780006472612 Kate Blackwell is an enigma and one of the most powerful women in the world. But at her ninetieth birthday celebrations there are ghosts of absent friends and absent enemies.,Nonfiction,0.934485912322998,0.012667234055697918,0.0029164887964725494,0.006453509442508221,0.05853111296892166,0.0033523140009492636,0.0027998003643006086,0.0025317927356809378,0.0051372055895626545,0.009820082224905491,0.009044048376381397,0.0021674330346286297,0.00475696288049221,0.16559681296348572,0.009991127997636795,0.020486969500780106,0.010866383090615273,0.3175084590911865,0.0049473075196146965,0.009201585315167904,0.9549601674079895,0.0053738937713205814,0.00701083242893219,0.050153471529483795,0.01692086085677147,0.0021454666275531054,0.05414228513836861,0.06163269281387329
9780006482079,0006482074,Warhost of Vastmark,Janny Wurts,Fiction,http://books.google.com/books/content?id=uOL0fpS9WZkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Tricked once more by his wily half-brother, Lysaer, Lord of Light, arrives at the tiny harbor town of Merior to find that Arithon's ship yards have been abandoned and meticulously destroyed, and that the Master of Shadow has disappeared as if into thin air. Meanwhile Arithon and the Mad Prophet Dakar are traveling on foot through the treacherous Kelhorn Mountains towards the Vastmark clans, there to raise further support for his cause. But raising a warhost is a costly business. Is it mere coincidence that Princess Talith—Lysaer's beautiful, headstrong wife—is taken captive and held for a vast ransom by a master brigand? The forces of light and shadow circle and feint, drawing ever closer to a huge conflict. And in the background the Fellowship of Seven Sorcerers and the Koriani Enchantresses watch and plan, and wait.",1995.0,4.03,522.0,2966.0,Warhost of Vastmark,"9780006482079 Tricked once more by his wily half-brother, Lysaer, Lord of Light, arrives at the tiny harbor town of Merior to find that Arithon's ship yards have been abandoned and meticulously destroyed, and that the Master of Shadow has disappeared as if into thin air. Meanwhile Arithon and the Mad Prophet Dakar are traveling on foot through the treacherous Kelhorn Mountains towards the Vastmark clans, there to raise further support for his cause. But raising a warhost is a costly business. Is it mere coincidence that Princess Talith—Lysaer's beautiful, headstrong wife—is taken captive and held for a vast ransom by a master brigand? The forces of light and shadow circle and feint, drawing ever closer to a huge conflict. And in the background the Fellowship of Seven Sorcerers and the Koriani Enchantresses watch and plan, and wait.",Fiction,0.05251738801598549,0.00250267400406301,0.004458618815988302,0.06916262209415436,0.07161394506692886,0.004922690335661173,0.16604264080524445,0.557991087436676,0.0026953225024044514,0.04592759162187576,0.10475369542837143,0.010195428505539894,0.005524114705622196,0.004191974177956581,0.01696714386343956,0.0017378951888531446,0.007081227842718363,0.0026295434217900038,0.003767407266423106,0.003734011435881257,0.9612938761711121,0.015621365047991276,0.0008276239968836308,0.030035944655537605,0.001741512562148273,0.0019228562014177442,0.15950705111026764,0.01999272033572197
9780006483014,0006483011,The Once and Future King,Terence Hanbury White,Arthurian romances,http://books.google.com/books/content?id=Jx6BvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An omnibus volume of the author's complete story of the Arthurian epic which includes: ""The sword in the stone"" (1939), ""The witch in the wood"" (1939), ""The ill-made knight"" (1940), ""The candle in the wind"" (published for the first time), and ""The book of Merlyn."" 1996.",1996.0,4.04,823.0,2805.0,The Once and Future King,"9780006483014 An omnibus volume of the author's complete story of the Arthurian epic which includes: ""The sword in the stone"" (1939), ""The witch in the wood"" (1939), ""The ill-made knight"" (1940), ""The candle in the wind"" (published for the first time), and ""The book of Merlyn."" 1996.",Fiction,0.00497800949960947,0.0027869325131177902,0.0032089974265545607,0.006453509442508221,0.023192662745714188,0.001087530399672687,0.002691089641302824,0.0016405492788180709,0.0011503531131893396,0.005593900103121996,0.009044048376381397,0.0021536066196858883,0.0008792546577751637,0.0036981143057346344,0.002088400302454829,0.0013705722521990538,0.0006272920873016119,0.003894498571753502,0.0013717631809413433,0.0005637296126224101,0.9622653722763062,0.0025780689902603626,0.0005016230861656368,0.01759803295135498,0.0005848731379956007,0.00043219036888331175,0.002985561266541481,0.001633923500776291
